Bn:274,  UBofWeight:299,  Margin:25,  RASNUB_ER:3,  LimitRound:52
Input:
0x9000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0090 0000 0000 0000 0000 
Output:
0x0000 0000 0000 0000 0000 0000 0000 0000 0000 000a 0000 0000 0000 0000 0000 0c00 

Weight: 274, NUM: 1
Weight: 277, NUM: 2
Weight: 280, NUM: 7756
Weight: 283, NUM: 23547
Weight: 284, NUM: 13442
Weight: 285, NUM: 902
Weight: 286, NUM: 6547347
Weight: 287, NUM: 63146
Weight: 288, NUM: 3926444196
Weight: 289, NUM: 29412407
Weight: 290, NUM: 3175022425
Weight: 291, NUM: 2946969087
Weight: 292, NUM: 37809323609
Weight: 293, NUM: 4231215093
Weight: 294, NUM: 189517526831
Weight: 295, NUM: 77521237339
Weight: 296, NUM: 239365780075
Weight: 297, NUM: 384824612496
Weight: 298, NUM: 1726488852955
Weight: 299, NUM: 748269898115
Trail_NUM: 3418112950771, TrailClusterWeight: 254.202239 
Total Time: 41.039000 s, 0.683983 min  
