Rnum:76,  Bn:402, UBofWeight:427, Margin : 25, RASNUB_ER : 3, use the merging weights strategy: 0
Input:
0x0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0900 000a 
Output:
0x0000 0007 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0100 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 

Weight: 402, NUM: 1
Weight: 408, NUM: 26638
Weight: 411, NUM: 30475
Weight: 412, NUM: 50761
Weight: 413, NUM: 1081
Weight: 414, NUM: 80082458
Weight: 415, NUM: 145276
Weight: 416, NUM: 30338631092035
Weight: 417, NUM: 208649027
Weight: 418, NUM: 281334726
Weight: 419, NUM: 12720468
Weight: 420, NUM: 384170799198918
Weight: 421, NUM: 1155859062
Weight: 422, NUM: 5237964160389261
Weight: 423, NUM: 590544395157278
Weight: 424, NUM: 2225179611866880
Weight: 425, NUM: 8675402021439427
Weight: 426, NUM: 68106176090738553
Weight: 427, NUM: 8371004336861491
Trail_NUM: 93620781785643816, ClusterWeight: 368.248
Total Time: 36.575s, 0.609583min
