Rnum:100,  Bn:530, UBofWeight:555, Margin : 25, RASNUB_ER : 3, use the merging weights strategy: 0
Input:
0x9000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0090 0000 0000 
Output:
0x0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0c00 0000 0000 0000 0000 0000 0000 0000 000a 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 

Weight: 530, NUM: 1
Weight: 533, NUM: 2
Weight: 536, NUM: 63644
Weight: 539, NUM: 192011
Weight: 540, NUM: 119042
Weight: 541, NUM: 3846
Weight: 542, NUM: 466495003
Weight: 543, NUM: 577386
Weight: 544, NUM: 72580
Weight: 545, NUM: 2000491319
Weight: 546, NUM: 396658358119221859
Weight: 547, NUM: 81946723
Weight: 548, NUM: 946016959983
Weight: 549, NUM: 594987544510847461
Weight: 550, NUM: 6095874496621210581
Weight: 551, NUM: 76778027178478479
Weight: 552, NUM: 6484986394892192418
Weight: 553, NUM: -2355997305467031540
Weight: 554, NUM: 2990786797723976306
Weight: 555, NUM: -2735363921883569910
Trail_NUM: -6898032733447304422, ClusterWeight: 486.289
Total Time: 59.399s, 0.989983min


